temp_c,rh_pct
21.5,78.3
21.5,78.2
21.5,78.0
21.5,78.4
21.5,77.9
21.5,77.5
21.4,77.6
21.4,77.4
21.4,77.4
21.3,78.3
21.3,78.2
21.3,78.6
21.3,78.5
21.4,79.1
21.3,78.9
21.3,78.80001
21.3,78.7
21.2,78.9
21.2,79.0
21.3,79.5
21.2,79.8
21.2,79.1
21.2,79.4
21.1,80.2
21.2,79.3
21.2,79.1
21.1,79.2
21.2,79.1
21.2,78.9
21.1,80.1
21.2,80.5
21.2,80.0
21.0,80.6
21.2,79.0
21.2,79.2
21.1,79.4
21.1,79.2
21.1,80.80001
21.1,81.6
21.2,80.80001
21.1,80.6
21.1,80.5
21.1,80.2
21.1,80.5
21.1,81.0
21.0,82.2
21.0,80.0
21.0,80.1
21.0,82.1
21.0,82.7
21.0,83.30001
21.0,83.7
20.9,83.4
20.9,83.2
21.0,82.9
20.9,82.80001
21.0,83.1
20.8,82.6
21.0,82.5
20.9,83.8
20.8,83.2
20.8,81.6
20.7,81.0
20.8,81.2
20.9,81.7
20.8,82.5
20.7,83.1
20.8,82.5
20.8,82.3
20.8,82.1
20.8,84.1
20.8,84.3
20.8,84.6
20.7,84.40001
20.7,84.3
20.8,84.2
20.7,84.1
20.6,83.7
20.8,83.2
20.7,83.6
20.7,81.8
20.7,81.8
20.7,82.40001
20.7,82.5
20.7,82.80001
20.7,83.2
20.8,83.0
20.7,82.40001
20.7,82.3
20.7,81.8
20.7,81.90001
20.8,81.6
20.7,81.6
20.7,81.6
20.7,81.50001
20.7,82.0
20.7,82.80001
20.7,83.4
20.7,83.4
20.7,81.90001
20.7,81.8
20.7,81.90001
20.8,82.0
20.8,82.1
20.7,82.0
20.7,81.50001
20.8,81.1
20.7,81.1
20.7,81.0
20.7,81.2
20.7,81.2
20.7,80.2
20.7,80.2
20.7,80.2
20.7,80.2
20.7,80.2
20.8,80.7
20.7,80.4
20.8,80.30001
20.8,80.2
20.7,80.30001
20.9,80.1
20.8,80.6
20.8,80.80001
20.8,80.9
20.7,80.7
20.7,79.7
20.9,79.6
20.8,79.4
20.8,79.3
20.8,79.3
20.8,79.5
20.8,79.6
20.9,79.6
20.9,79.5
20.9,79.9
20.9,79.7
20.9,80.1
21.0,80.7
20.9,81.4
20.9,81.6
20.9,81.50001
20.9,81.50001
20.9,81.3
21.0,81.1
20.9,81.1
21.0,80.80001
20.9,79.8
20.9,79.8
20.9,79.2
20.9,79.0
20.9,78.80001
21.0,78.7
20.9,78.6
20.9,78.6
20.9,78.80001
21.0,79.1
21.0,78.9
21.0,78.7
20.9,78.2
21.0,79.1
21.1,77.7
21.1,77.7
21.0,77.5
21.0,77.5
21.1,78.1
21.0,78.9
20.9,78.4
20.9,79.2
21.0,79.6
21.0,79.4
21.0,79.4
20.9,78.80001
20.9,78.6
21.0,79.0
21.0,79.1
20.9,78.6
20.9,79.0
20.9,79.6
21.0,79.4
20.9,79.1
21.0,79.6
20.9,79.5
21.0,79.8
20.9,80.1
20.9,79.9
20.9,80.30001
21.0,80.4
21.0,80.0
20.9,79.7
20.9,79.2
20.9,79.6
20.9,79.6
20.9,79.6
20.9,80.0
20.9,80.1
20.8,80.4
20.9,80.5
20.8,80.7
20.9,80.80001
20.9,80.4
20.9,80.5
20.9,80.5
20.8,80.7
20.9,80.4
20.9,80.6
20.8,80.6
20.9,80.5
20.8,80.4
20.8,80.5
20.8,80.30001
20.8,80.30001
20.8,80.4
20.8,80.1
20.8,80.1
20.8,80.4
20.8,80.30001
20.8,80.7
20.8,80.6
20.8,80.30001
20.9,80.30001
20.7,80.1
20.9,80.2
20.8,80.0
20.8,79.9
20.8,79.8
20.8,78.7
20.9,79.0
20.7,79.1
20.8,79.2
20.9,79.4
20.8,79.1
20.8,78.9
20.8,78.9
20.8,78.7
20.8,78.9
20.7,79.0
20.8,79.1
20.8,79.3
20.8,79.3
20.8,79.5
20.7,78.4
20.8,78.1
20.8,78.2
20.8,78.1
20.8,78.1
20.8,78.3
20.9,78.1
20.7,78.1
20.8,78.0
20.7,77.9
20.7,78.1
20.7,78.0
20.8,78.1
20.7,78.1
20.8,78.2
20.8,78.2
20.8,78.3
20.8,78.1
20.9,78.1
20.8,78.0
20.8,78.0
20.8,77.9
20.7,77.9
20.8,78.1
20.7,78.0
20.8,78.2
20.9,78.0
20.8,78.2
20.8,77.8
20.8,78.0
20.8,78.0
20.7,78.0
20.8,77.9
20.8,77.8
20.8,77.8
20.7,77.8
20.8,77.9
20.7,78.0
20.8,78.0
20.8,78.2
20.8,78.1
20.8,78.0
20.7,78.0
20.7,77.7
20.8,77.8
20.7,77.9
20.8,78.0
20.8,78.0
20.8,78.1
20.8,78.2
20.8,78.0
20.7,77.9
20.8,77.8
20.7,77.9
20.7,77.8
20.8,77.8
20.7,77.7
20.8,77.9
20.7,77.9
20.8,77.9
20.8,77.7
20.8,78.0
20.8,77.9
20.8,77.9
20.7,77.8
20.8,77.8
20.8,77.9
20.7,78.0
20.7,78.0
20.8,78.1
20.8,77.8
20.7,78.0
20.8,78.0
20.8,77.9
20.8,78.1
20.8,78.1
20.8,77.6
20.7,77.6
20.7,77.7
20.9,77.6
20.9,77.6
20.8,77.6
20.8,77.8
20.8,77.7
20.8,77.7
20.7,77.7
20.8,77.5
20.8,77.6
20.9,77.6
20.9,77.6
20.8,77.8
20.9,77.7
20.8,77.5
20.8,77.6
20.8,77.7
20.9,77.5
20.9,77.6
20.9,77.7
20.8,77.6
20.8,77.6
20.9,77.7
20.8,77.6
20.8,77.5
20.8,77.6
20.8,77.8
20.8,77.8
20.7,77.8
20.9,77.6
20.8,77.6
20.8,77.5
20.8,77.8
20.8,77.6
20.8,77.6
20.8,77.7
20.8,77.6
20.9,77.8
20.8,77.6
20.9,77.5
20.8,77.8
20.8,77.5
20.8,77.7
20.8,77.9
20.9,77.4
20.8,77.4
20.7,77.6
20.8,77.7
20.9,77.4
20.9,77.8
20.8,77.8
20.8,77.5
20.9,77.6
20.9,77.5
20.9,77.4
20.9,77.7
20.8,77.7
20.9,77.6
20.9,77.6
20.9,77.7
20.8,77.6
20.9,77.6
20.9,77.8
20.8,77.8
21.0,77.7
20.8,77.6
20.9,77.8
20.8,77.8
20.8,77.7
20.8,77.6
20.8,77.7
20.8,77.9
20.8,77.9
20.8,77.7
20.8,77.5
20.9,77.6
20.8,77.7
20.9,77.7
20.9,78.0
20.9,77.8
21.0,77.8
20.9,77.9
20.9,78.0
20.9,77.9
20.8,77.8
20.9,77.8
20.9,77.7
20.9,77.9
20.9,77.7
20.9,77.7
20.9,77.7
20.9,77.7
20.9,77.7
20.9,77.6
20.9,77.7
20.8,77.7
20.9,77.9
20.9,77.8
20.9,77.7
20.9,77.6
20.9,77.6
20.9,77.6
21.0,77.8
20.9,77.7
20.9,77.7
20.9,77.6
20.8,77.6
20.9,77.5
20.9,77.4
20.8,77.5
20.9,77.7
20.9,77.6
20.8,77.8
20.8,77.8
20.9,77.8
20.9,77.7
21.0,77.8
20.9,77.7
20.9,77.6
20.8,77.8
20.9,77.8
21.0,77.8
20.9,77.8
20.9,77.6
20.9,77.5
20.9,77.6
21.0,77.6
20.9,77.5
20.9,77.5
20.9,77.5
20.9,77.6
21.0,77.7
21.0,77.8
20.9,77.7
20.8,77.7
20.9,77.8
20.8,77.9
20.9,77.7
20.9,77.7
20.9,77.6
21.0,77.5
20.9,77.6
20.9,77.5
20.9,77.6
20.9,77.6
20.9,77.5
20.9,77.3
20.9,77.2
21.0,77.5
20.9,77.4
20.9,77.3
20.9,77.3
21.0,77.3
20.9,77.2
20.9,77.6
20.9,77.4
20.9,77.6
21.0,77.5
21.0,77.7
21.0,77.7
20.9,77.3
21.0,77.6
20.9,77.5
20.9,77.3
21.0,77.4
21.1,77.7
20.9,77.7
21.0,77.4
20.9,77.3
21.0,77.4
20.9,77.5
20.9,77.4
20.9,77.3
20.9,77.7
21.0,77.7
21.0,77.5
21.0,77.5
21.0,77.4
21.0,77.2
21.1,77.2
21.0,77.5
21.0,77.2
21.1,77.5
21.0,77.4
21.0,77.5
21.1,77.5
21.0,77.5
21.0,77.5
21.0,77.4
21.1,77.8
21.1,77.7
21.0,77.4
21.0,77.5
21.1,77.6
21.0,77.7
21.0,77.7
21.0,77.5
21.1,77.7
21.0,77.5
21.0,77.7
21.1,77.6
21.0,77.5
21.0,77.6
21.0,77.7
21.0,77.6
21.1,77.9
21.1,78.0
21.1,77.8
21.0,77.9
21.1,77.7
21.1,77.8
21.1,77.9
21.1,77.7
21.1,78.1
21.1,77.9
21.1,77.9
21.1,77.9
21.1,77.7
21.1,77.9
21.2,78.1
21.1,78.0
21.1,78.2
21.1,78.0
21.1,78.0
21.1,78.2
21.0,77.7
21.1,78.0
21.1,78.0
21.0,77.8
21.1,77.8
21.0,77.8
21.0,77.8
21.0,77.8
21.1,77.9
21.1,77.8
21.0,77.9
21.1,77.7
21.1,77.9
21.0,77.7
21.1,77.8
21.1,77.8
21.0,78.0
21.1,78.0
21.1,77.9
21.0,78.1
21.1,78.1
21.1,77.9
21.1,77.9
21.1,77.8
21.1,77.6
21.1,77.7
21.1,77.7
21.2,77.7
21.0,77.8
21.1,77.9
21.1,77.8
21.1,77.7
21.1,77.7
21.2,77.7
21.1,77.6
21.2,77.9
21.1,77.7
21.1,77.9
21.1,77.9
21.1,77.9
21.1,77.9
21.1,77.8
21.1,77.9
21.1,77.9
21.0,77.8
21.1,77.8
21.1,78.1
21.2,77.9
21.1,77.9
21.1,77.8
21.2,77.9
21.1,78.0
21.1,77.6
21.1,77.7
21.2,77.8
21.1,77.9
21.0,77.8
21.1,77.5
21.1,77.7
21.1,77.8
21.2,77.6
21.1,77.7
21.1,77.6
21.0,77.7
21.1,77.6
21.1,77.6
21.1,77.7
21.2,77.9
21.2,77.8
21.1,77.8
21.1,77.8
21.1,77.5
21.1,77.5
21.1,77.3
21.1,77.4
21.2,77.4
21.1,77.5
21.2,77.3
21.2,77.3
21.1,77.5
21.2,77.6
21.2,77.5
21.1,77.4
21.2,77.6
21.2,77.3
21.1,77.6
21.1,77.7
21.2,77.3
21.1,77.3
21.1,77.3
21.3,77.4
21.2,77.5
21.1,77.6
21.2,77.7
21.1,77.5
21.1,77.4
21.2,77.5
21.2,77.5
21.1,77.4
21.1,77.6
21.2,77.4
21.2,77.6
21.2,77.4
21.1,77.4
21.1,77.4
21.1,77.3
21.2,77.6
21.2,77.5
21.2,77.6
21.2,77.4
21.1,77.6
21.2,77.6
21.1,77.6
21.2,77.5
21.2,77.4
21.2,77.6
21.2,77.4
21.2,77.5
21.1,77.6
21.2,77.7
21.1,77.6
21.2,77.6
21.1,77.4
21.1,77.5
21.1,77.3
21.2,77.6
21.2,77.8
21.2,77.8
21.2,77.7
21.2,77.6
21.2,77.7
21.2,77.5
21.2,77.6
21.1,77.5
21.2,77.6
21.2,77.4
21.2,77.3
21.3,77.4
21.3,77.4
21.3,77.3
21.3,77.3
21.3,77.6
21.2,77.7
21.3,77.6
21.4,77.8
21.3,77.9
21.3,77.7
21.3,77.7
21.3,77.4
21.4,77.4
21.4,77.9
21.3,78.0
21.3,78.1
21.3,78.1
21.4,77.6
21.3,77.6
21.3,77.8
21.3,77.8
21.3,77.8
21.3,77.6
21.3,77.8
21.3,77.7
21.2,77.8
21.3,77.8
21.3,77.7
21.3,77.9
21.2,77.7
21.3,77.5
21.4,77.8
21.4,77.8
21.4,77.9
21.3,78.1
21.4,78.0
21.3,78.1
21.4,78.1
21.3,78.2
21.3,77.9
21.3,78.0
21.2,77.3
21.3,77.5
21.3,77.6
21.3,77.4
21.4,77.6
21.3,77.7
21.4,77.5
21.4,77.8
21.3,77.5
21.4,77.5
21.4,77.6
21.4,77.4
21.4,77.4
21.3,77.4
21.4,77.4
21.3,77.2
21.3,77.4
21.3,77.4
21.3,77.5
21.5,77.5
21.3,77.4
21.4,77.5
21.3,77.2
21.4,77.3
21.4,77.5
21.5,77.7
21.4,77.6
21.4,77.6
21.4,77.3
21.4,77.3
21.3,77.3
21.5,77.5
21.4,77.4
21.3,77.4
21.4,77.3
21.4,77.3
21.4,77.3
21.4,77.5
21.5,77.7
21.3,77.7
21.4,77.6
21.4,77.8
21.4,77.5
21.5,77.6
21.4,77.5
21.3,77.4
21.4,77.4
21.5,77.4
21.4,77.4
21.5,77.4
21.5,77.4
21.5,77.4
21.5,77.4
21.4,77.6
21.4,77.3
21.4,77.5
21.5,77.5
21.5,77.3
21.5,77.4
21.4,77.5
21.6,77.4
21.4,77.4
21.4,77.5
21.5,77.5
21.5,77.5
21.5,77.8
21.6,77.7
21.5,77.6
21.5,77.4
21.5,77.3
21.5,77.4
21.4,77.4
21.5,77.6
21.5,77.3
21.4,77.6
21.5,77.5
21.5,77.5
21.4,77.5
21.5,77.5
21.5,77.4
21.5,77.5
21.5,77.5
21.5,77.6
21.5,77.7
21.5,77.4
21.6,77.5
21.5,77.6
21.5,77.3
21.5,77.5
21.5,77.5
21.5,77.4
21.5,77.2
21.5,77.6
21.5,77.5
21.5,77.7
21.5,77.4
21.5,77.3
21.6,77.6
21.6,77.5
21.6,77.5
21.5,77.4
21.6,77.6
21.6,77.4
21.5,77.5
21.5,77.5
21.5,77.5
21.6,77.3
21.6,77.5
21.5,77.3
21.6,77.6
21.5,77.5
21.5,77.5
21.7,77.5
21.7,77.4
21.6,77.4
21.7,77.3
21.6,77.4
21.6,77.6
21.6,77.4
21.6,77.4
21.6,77.5
21.6,77.6
21.6,77.6
21.6,77.5
21.6,77.4
21.7,77.6
21.7,77.6
21.6,77.6
21.6,77.7
21.6,77.9
21.6,77.8
21.7,77.6
21.7,77.7
21.7,77.8
21.6,77.7
21.7,77.5
21.7,77.7
21.7,77.5
21.6,77.6
21.7,77.6
21.7,77.6
21.6,77.8
21.7,77.8
21.6,77.7
21.7,77.8
21.7,77.8
21.7,77.9
21.7,78.0
21.6,78.0
21.7,77.9
21.8,77.9
21.7,78.0
21.7,78.2
21.7,78.1
21.7,77.8
21.7,77.7
21.7,77.8
21.7,78.0
21.7,77.8
21.7,78.0
21.8,78.0
21.7,78.2
21.7,78.2
21.6,78.0
21.8,78.1
21.8,77.8
21.8,77.9
21.7,78.1
21.7,78.2
21.8,77.9
21.7,78.0
21.8,78.4
21.8,78.3
21.8,78.3
21.8,78.5
21.7,78.4
21.8,78.1
21.7,78.5
21.8,78.4
21.8,78.3
21.7,78.5
21.8,78.7
21.8,78.4
21.7,78.5
21.8,78.7
21.8,79.1
21.9,78.6
21.9,78.6
21.8,78.7
21.7,78.7
21.9,78.9
21.8,78.80001
21.9,78.6
21.9,78.80001
21.8,78.9
21.9,78.80001
21.9,78.80001
21.9,79.1
21.9,79.1
21.9,79.0
21.9,79.0
21.9,79.2
21.9,79.0
21.9,79.0
21.9,79.1
22.0,79.2
21.9,79.4
21.9,79.0
21.9,78.9
21.9,78.9
21.9,79.1
21.9,79.1
21.9,79.0
21.9,78.9
22.0,79.1
21.9,79.0
21.9,79.8
21.9,79.4
21.9,79.4
21.9,79.6
21.9,79.5
21.9,79.6
21.9,79.4
21.9,79.4
22.0,79.2
21.9,79.2
21.9,79.1
21.9,79.2
22.0,79.3
21.9,79.1
21.9,79.5
22.0,79.1
21.9,79.2
21.9,79.3
21.9,79.1
21.9,79.1
21.9,79.1
21.9,79.4
22.0,79.2
22.0,79.1
22.0,78.9
22.0,78.9
21.9,79.0
22.0,79.1
22.0,79.0
22.0,79.0
21.9,78.9
22.0,78.80001
22.0,79.0
22.0,78.9
22.0,79.0
22.0,79.2
22.0,79.0
21.9,79.0
21.9,79.0
22.0,79.2
21.9,79.1
21.9,79.1
22.0,78.9
22.0,78.80001
22.0,78.9
22.1,79.0
22.0,78.6
22.0,79.0
22.0,79.1
22.0,79.1
22.0,79.0
22.0,78.9
21.9,79.0
22.0,78.9
22.0,78.9
22.0,79.1
22.0,78.7
22.1,78.80001
22.0,78.6
22.0,78.7
22.1,78.6
22.0,78.7
22.0,78.7
